address,company,detail,position
上海,"
字节跳动
",本科以上 | 应届生 | 实习 | 6000-12000,后端开发实习生
杭州,"
字节跳动
",本科以上 | 3-5年 | 全职 | 6000-8000元,区域汽车营销策划
北京,"
字节跳动
",本科以上 | 全职 | 80000-100000元,业务研发技术负责人
上海,"
字节跳动
",本科以上 | 5-10年 | 全职 | 40000-70000,视频云架构师
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,直播礼物设计师
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,多媒体动画设计师
深圳,"
字节跳动
",本科以上 | 3-4年工作经验 | 全职 | 2.5-5万/月,RTC客户端开发工程师
北京,"
字节跳动
",本科以上 | 实习 | 0.8-1万/月,多媒体开发实习生
深圳,"
字节跳动
",博士以上 | 3-4年工作经验 | 全职 | 2.5-5万/月,音视频评估算法研究员
上海,"
字节跳动
",本科以上 | 应届生 | 实习 | 8000-9000,多媒体开发实习生
北京,"
字节跳动
",本科以上 | 实习 | 0.8-1万/月,算法实习生-流调度方向
北京,"
字节跳动
",本科以上 | 3-4年工作经验 | 全职 | 1-1.8万/月,视频资源策略经理
深圳,"
字节跳动
",本科以上 | 实习 | 0.8-1万/月,机器学习实习生-音视频
深圳,"
字节跳动
",本科以上 | 3-4年工作经验 | 全职 | 2.5-5万/月,音视频专项评估工程师
北京,"
字节跳动
",本科以上 | 1-3年 | 全职 | 20000-40000元,全栈研发工程师-运营平台开发
北京,"
耕牛传媒
",大专以上 | 全职 | 4000-5999,行政人事专员
北京,"
耕牛传媒
",大专以上 | 0-2年 | 全职 | 4000-5999,WEB前端开发工程师
北京,"
耕牛传媒
",大专以上 | 3-5年 | 全职 | 8000-9999,php工程师
北京,"
耕牛传媒
",本科以上 | 0-2年 | 全职 | 4000-5999,UI视觉网页设计师
北京,"
耕牛传媒
",大专以上 | 全职 | 5000-10000,行政人事专员 经理
北京,"
耕牛传媒
",本科以上 | 1-3年 | 全职 | 5000-10000,UI视觉 网页设计师
北京,"
耕牛传媒
",本科以上 | 1-3年 | 全职 | 5000-10000,PHP开发工程师
北京,"
耕牛传媒
",本科以上 | 应届生 | 全职 | 5000-10000,产品助理
北京,"
耕牛传媒
",大专以上 | 全职 | 4000-8000,UI设计师
北京,"
耕牛传媒
",本科以上 | 1-3年 | 全职 | 6000-12000,web前端工程师
北京,"
耕牛传媒
",大专以上 | 1-3年 | 全职 | 4000-8000,UI 视觉 网页设计师
北京,"
耕牛传媒
",大专以上 | 1年以内 | 全职 | 4000-6000,行政客服
北京,"
耕牛传媒
",本科以上 | 1-3年 | 全职 | 8000-16000,android开发工程师
北京,"
耕牛传媒
",本科以上 | 全职 | 5000-10000,原画师
北京,"
耕牛传媒
",大专以上 | 全职 | 5000-10000,新媒体运营编辑
北京,"
赛佰特
",大专以上 | 3-5年 | 全职 | 6000-10000,工业机器人机械设计工程师
北京,"
赛佰特
",大专以上 | 应届毕业生 | 全职 | 3000-5000,技术支持工程师
北京,"
赛佰特
",本科以上 | 1-3年 | 全职 | 4000-6000,售前工程师
北京,"
赛佰特
",本科以上 | 1-3年 | 全职 | 4000-6000,机械设计工程师
天津,"
赛佰特
",大专以上 | 3-5年 | 全职 | 5000-6000,erp专员
天津,"
赛佰特
",中技以上 | 1-3年 | 全职 | 3000-4000,库房管理员
上海,"
拜耳医药
",本科以上 | 5年以上 | 全职 | 49-60万,Algorithm Lead
广州,"
拜耳医药
",本科以上 | 2年以上 | 全职 | 9-14万,区域招标助理
上海,"
拜耳医药
",本科以上 | 5年以上 | 全职,portfolio manager产品组合经理
广州,"
拜耳医药
",大专以上 | 全职 | 6-8千/月,Assistant Equipment Engineer 设备助理工程师
北京,"
拜耳医药
",1年以上 | 全职 | 18-36万,大区销售经理
北京,"
拜耳医药
",1年以上 | 全职 | 36-72万,销售总监
北京,"
拜耳医药
",硕士以上 | 3年以上 | 全职 | 24-48万,生物信息研发经理
北京,"
拜耳医药
",本科以上 | 5-7年工作经验 | 全职 | 3-5万/月,处方药零售战略经理
苏州,"
拜耳医药
",本科以上 | 实习 | 1.5千以下/月,医药代表实习生
上海,"
拜耳医药
",实习,Device Intern
南宁,"
拜耳医药
",大专以上 | 全职 | 0.6-1万/月,医药代表
北京,"
拜耳医药
",中专以上 | 0-2年 | 全职 | 3-4.5千/月,Operator 操作工
北京,"
拜耳医药
",本科以上 | 实习 | 2-3千/月,生产药剂师实习生
北京,"
拜耳医药
",本科以上 | 实习 | 2-3千/月,公用系统维修实习生
福州,"
拜耳医药
",大专以上 | 1年工作经验 | 全职 | 6-8千/月,医药代表-福州
沈阳,"
华晨宝马
",本科以上 | 6-7年 | 全职,Advanced Specialist Electric Electronic 资深电子电气专员
沈阳,"
华晨宝马
",本科以上 | 5-7年工作经验 | 全职,Advanced Specialist IT & Infrastructure 资深建筑IT及基础设施专员
